A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation	Rad subtype 	Rad Ene.  	Unc       	EP Ene.   	Unc       	Rad Int.  	Unc       	Dose        	Unc       
12 	N      	7  	5  	0.0        	     	1+        	B+      	11.000 MS 16  	0.011             	12C     	G        	Annihil.    	511.0     	          	          	          	199.8     	15        	            	          
13 	N      	7  	6  	0          	     	1/2-      	B+      	9.965 M 4     	597.9             	13C     	BP       	            	491.82    	12        	1198.5    	3         	99.8036   	20        	0.49085     	12        
13 	N      	7  	6  	0          	     	1/2-      	B+      	9.965 M 4     	597.9             	13C     	BP AV    	            	491.82    	12        	          	          	99.8036   	20        	0.49085     	12        
13 	N      	7  	6  	0          	     	1/2-      	B+      	9.965 M 4     	597.9             	13C     	E        	Auger K     	0.26      	          	          	          	0.18563   	7         	4.8263E-7   	19        
13 	N      	7  	6  	0          	     	1/2-      	B+      	9.965 M 4     	597.9             	13C     	G        	XR ka1      	0.277     	          	          	          	3.5E-4    	15        	1.0E-9      	4         
13 	N      	7  	6  	0          	     	1/2-      	B+      	9.965 M 4     	597.9             	13C     	G        	XR ka2      	0.277     	          	          	          	1.7E-4    	7         	4.6E-10     	21        
13 	N      	7  	6  	0          	     	1/2-      	B+      	9.965 M 4     	597.9             	13C     	G        	Annihil.    	511.0     	          	          	          	199.607   	4         	            	          
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	BM       	            	206.7     	10        	574.6     	24        	6.5E-7    	20        	1.3E-9      	4         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	BM       	            	315       	5         	834       	11        	0.0012    	5         	3.8E-6      	16        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	BM       	            	630.6     	11        	1547.2    	24        	1.06      	7         	0.0067      	4         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	BM       	            	1461.6    	12        	3302.2    	23        	4.8       	4         	0.070       	6         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	BM       	            	1941.7    	12        	4289.2    	23        	66.2      	6         	1.285       	12        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	BM       	            	1999.0    	13        	4370      	3         	0.012     	4         	2.4E-4      	8         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	BM       	            	4979.8    	12        	10419.1   	23        	28.0      	4         	1.394       	20        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	BM AV    	            	2.75E+3   	3         	          	          	100.1     	8         	2.76        	4         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	E        	Auger K     	0.52      	          	          	          	0.139     	          	7.238E-7    	          
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	E        	CE K        	6047.7    	10        	          	          	0.140     	          	0.0085      	          
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	XR ka1      	0.525     	          	          	          	8.E-4     	3         	4.0E-9      	16        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	XR ka2      	0.525     	          	          	          	3.9E-4    	15        	2.1E-9      	8         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	787.2     	6         	          	          	1.5E-6    	15        	1.2E-8      	12        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	867.7     	1         	          	          	2.100E-4  	20        	1.822E-6    	17        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	986.93    	15        	          	          	0.0034    	8         	3.4E-5      	8         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	1067.5    	10        	          	          	1.5E-5    	15        	1.6E-7      	16        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	1754.9    	6         	          	          	0.121     	10        	0.00212     	18        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	1954.7    	8         	          	          	0.038     	6         	7.4E-4      	12        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	2741.5    	5         	          	          	0.82      	6         	0.0225      	16        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	2822.2    	12        	          	          	0.13      	4         	0.0037      	11        
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	6128.63   	4         	          	          	67.0      	6         	4.11        	4         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	6915.5    	6         	          	          	0.038     	6         	0.0026      	4         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	7115.15   	14        	          	          	4.9       	4         	0.35        	3         
16 	N      	7  	9  	0          	     	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	            	8869.3    	5         	          	          	0.076     	10        	0.0067      	9         
13 	O      	8  	5  	0          	     	(3/2-)    	B+      	8.58 MS 5     	0.00858           	13N     	BP       	            	2986      	5         	6383      	10        	0.020     	10        	6.E-4       	3         
13 	O      	8  	5  	0          	     	(3/2-)    	B+      	8.58 MS 5     	0.00858           	13N     	BP       	            	3424      	7         	7267      	13        	0.16      	4         	0.0055      	14        
13 	O      	8  	5  	0          	     	(3/2-)    	B+      	8.58 MS 5     	0.00858           	13N     	BP       	            	3700      	8         	7825      	15        	0.61      	14        	0.023       	5         
13 	O      	8  	5  	0          	     	(3/2-)    	B+      	8.58 MS 5     	0.00858           	13N     	BP       	            	4464      	7         	9367      	13        	0.18      	9         	0.008       	4         
13 	O      	8  	5  	0          	     	(3/2-)    	B+      	8.58 MS 5     	0.00858           	13N     	BP       	            	6391      	5         	13241     	10        	9.8       	20        	0.63        	13        
13 	O      	8  	5  	0          	     	(3/2-)    	B+      	8.58 MS 5     	0.00858           	13N     	BP       	            	8136      	5         	16743     	10        	89.2      	22        	7.26        	18        
13 	O      	8  	5  	0          	     	(3/2-)    	B+      	8.58 MS 5     	0.00858           	13N     	BP AV    	            	7.9E+3    	3         	          	          	100       	3         	7.9         	4         
13 	O      	8  	5  	0          	     	(3/2-)    	B+      	8.58 MS 5     	0.00858           	13N     	G        	Annihil.    	511.0     	          	          	          	200       	6         	            	          
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	BP       	            	64.37     	9         	172.94    	21        	0.0190    	10        	1.22E-5     	6         
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	BP       	            	770.55    	          	1808.24   	7         	99.249    	10        	0.76476     	8         
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	BP       	            	1875.95   	          	4121.04   	7         	0.610     	10        	0.01144     	19        
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	BP AV    	            	777.17    	23        	          	          	99.878    	14        	0.7762      	3         
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	E        	Auger K     	0.38      	          	          	          	0.1147    	12        	4.36E-7     	5         
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	XR ka1      	0.392     	          	          	          	4.0E-4    	16        	1.6E-9      	6         
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	XR ka2      	0.392     	          	          	          	2.0E-4    	8         	8.E-10      	3         
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	Annihil.    	511.0     	          	          	          	199.76    	3         	            	          
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	            	1635.20   	20        	          	          	0.0520    	20        	8.5E-4      	3         
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	            	2312.593  	11        	          	          	99.388    	11        	2.2984      	3         
14 	O      	8  	6  	0          	     	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	            	3947.50   	20        	          	          	0.00211   	13        	8.3E-5      	5         
15 	O      	8  	7  	0          	     	1/2-      	B+      	122.24 S 16   	122.24            	15N     	BP       	            	735.28    	23        	1732.0    	5         	99.9003   	10        	0.73455     	23        
15 	O      	8  	7  	0          	     	1/2-      	B+      	122.24 S 16   	122.24            	15N     	BP AV    	            	735.28    	23        	          	          	99.9003   	10        	0.73455     	23        
15 	O      	8  	7  	0          	     	1/2-      	B+      	122.24 S 16   	122.24            	15N     	E        	Auger K     	0.38      	          	          	          	0.09390   	8         	3.568E-7    	3         
15 	O      	8  	7  	0          	     	1/2-      	B+      	122.24 S 16   	122.24            	15N     	G        	XR ka1      	0.392     	          	          	          	3.3E-4    	13        	1.3E-9      	5         
15 	O      	8  	7  	0          	     	1/2-      	B+      	122.24 S 16   	122.24            	15N     	G        	XR ka2      	0.392     	          	          	          	1.6E-4    	7         	6.E-10      	3         
15 	O      	8  	7  	0          	     	1/2-      	B+      	122.24 S 16   	122.24            	15N     	G        	Annihil.    	511.0     	          	          	          	199.8006  	20        	            	          
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	89.4      	11        	270       	3         	5.E-4     	5         	4.E-7       	4         
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	152.4     	12        	442       	3         	0.098     	3         	1.50E-4     	5         
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	293.1     	13        	787       	3         	5.E-4     	5         	1.5E-6      	15        
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	307.5     	13        	821       	3         	5.E-4     	5         	1.5E-6      	15        
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	346.1     	13        	911       	3         	0.0081    	5         	2.80E-5     	17        
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	857.6     	14        	2040      	3         	1.0E-3    	10        	9.E-6       	9         
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	1442.5    	14        	3266      	3         	54.4      	12        	0.785       	17        
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	1488.5    	14        	3361      	3         	0.005     	5         	7.E-5       	7         
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	1543.2    	14        	3474      	3         	0.0170    	20        	2.6E-4      	3         
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	2103.2    	15        	4622      	3         	45.4      	15        	0.95        	3         
19 	O      	8  	11 	0          	     	5/2+      	B-      	26.88 S 5     	26.88             	19F     	BM       	            	2146.0    	15        	4710      	3         	0.06      	3         	0.0012      	5         
